"TeamID","TeamName","FirstD1Season","LastD1Season","bartorvik"
1109,"Alliant Intl",1985,1991,"Indiana St."
1118,"Armstrong St",1987,1987,"Arizona St."
1121,"Augusta",1985,1991,"Albany"
1126,"Bethune-Cookman",1985,2020,"Western Michigan"
1128,"Birmingham So",2003,2006,"Wright St."
1134,"Brooklyn",1985,1992,"Ohio St."
1135,"Brown",1985,2020,"UTSA"
1146,"Cent Arkansas",2007,2021,"Central Arkansas"
1147,"Centenary",1985,2011,"Kent St."
1162,"Columbia",1985,2020,"Iowa St."
1165,"Cornell",1985,2020,"Southern"
1171,"Dartmouth",1985,2020,"Monmouth"
1198,"Florida Intl",1988,2021,"Florida St."
1215,"Hardin-Simmons",1985,1990,"Saint Louis"
1217,"Harvard",1985,2020,"Albany"
1236,"PFW",2003,2021,"FIU"
1271,"MD E Shore",1985,2020,"Ohio St."
1282,"Missouri KC",1990,2021,"Missouri St."
1289,"Morris Brown",2002,2003,"Murray St."
1292,"MTSU",1985,2021,"Middle Tennessee"
1302,"NE Illinois",1991,1998,"Illinois St."
1322,"Northwestern LA",1985,2021,"Northwestern St."
1327,"Okla City",1985,1985,"Ohio St."
1335,"Penn",1985,2020,"Penn St."
1343,"Princeton",1985,2020,"Penn St."
1366,"Savannah St",2003,2019,"Kansas St."
1394,"TAM C. Christi",2003,2021,"Abilene Christian"
1410,"UTRGV",1985,2021,"UTSA"
1432,"Utica",1985,1987,"UTSA"
1445,"W Salem St",2007,2010,"Weber St."
1446,"W Texas A&M",1985,1986,"Texas St."
1463,"Yale",1985,2020,"UTSA"
